"meshblockID" "urbanRural" "code"
2486703 "Main urban area" "A"
2450003 "Rural area with high urban influence" "D"
2495109 "Main urban area" "A"
2486704 "Main urban area" "A"
2542401 "Main urban area" "A"
2612100 "Main urban area" "A"
2470400 "Main urban area" "A"
2478600 "Main urban area" "A"
2474602 "Main urban area" "A"
1976700 "Main urban area" "A"
2075402 "Main urban area" "A"
2082700 "Main urban area" "A"
1964400 "Main urban area" "A"
2082600 "Main urban area" "A"
2082002 "Main urban area" "A"
2612700 "Main urban area" "A"
2813004 "Highly rural/remote area" "G"
1974300 "Main urban area" "A"
2075600 "Main urban area" "A"
2472600 "Main urban area" "A"
2813005 "Rural area with low urban influence" "F"
2085600 "Main urban area" "A"
1963700 "Main urban area" "A"
2758500 "Rural area with low urban influence" "F"
1975300 "Main urban area" "A"
2085700 "Main urban area" "A"
1464200 "Rural area with moderate urban influence" "E"
1680900 "Main urban area" "A"
2744800 "Highly rural/remote area" "G"
2034000 "Main urban area" "A"
2074302 "Main urban area" "A"
1513500 "Rural area with low urban influence" "F"
1774703 "Rural area with low urban influence" "F"
2761400 "Rural area with low urban influence" "F"
2082800 "Main urban area" "A"
2033800 "Main urban area" "A"
1511200 "Rural area with moderate urban influence" "E"
1679200 "Rural area with moderate urban influence" "E"
2813003 "Highly rural/remote area" "G"
2181302 "Main urban area" "A"
1683800 "Rural area with moderate urban influence" "E"
1467905 "Rural area with high urban influence" "D"
2760800 "Rural area with low urban influence" "F"
2181400 "Main urban area" "A"
1467904 "Rural area with high urban influence" "D"
1668300 "Rural area with moderate urban influence" "E"
2812904 "Rural area with low urban influence" "F"
2201300 "Main urban area" "A"
1668400 "Highly rural/remote area" "G"
1728301 "Highly rural/remote area" "G"
2359710 "Main urban area" "A"
1467902 "Rural area with high urban influence" "D"
1467500 "Rural area with moderate urban influence" "E"
2200100 "Main urban area" "A"
1670400 "Highly rural/remote area" "G"
1680103 "Main urban area" "A"
2168300 "Main urban area" "A"
2187304 "Main urban area" "A"
2033400 "Main urban area" "A"
1976102 "Main urban area" "A"
2148800 "Main urban area" "A"
1977200 "Main urban area" "A"
2081800 "Main urban area" "A"
2813002 "Highly rural/remote area" "G"
2744700 "Rural area with low urban influence" "F"
1747601 "Highly rural/remote area" "G"
1680102 "Main urban area" "A"
1523302 "Rural area with high urban influence" "D"
1813700 "Main urban area" "A"
1748300 "Highly rural/remote area" "G"
1802300 "Main urban area" "A"
2168100 "Main urban area" "A"
1802000 "Main urban area" "A"
1813000 "Main urban area" "A"
2163800 "Main urban area" "A"
1807600 "Main urban area" "A"
1851800 "Main urban area" "A"
1806700 "Main urban area" "A"
1807400 "Main urban area" "A"
1851700 "Main urban area" "A"
2256900 "Rural area with moderate urban influence" "E"
1800600 "Main urban area" "A"
1912001 "Main urban area" "A"
2378500 "Independent Urban Area" "B"
2378102 "Independent Urban Area" "B"
2378101 "Independent Urban Area" "B"
2280401 "Highly rural/remote area" "G"
1617000 "Rural area with low urban influence" "F"
2043900 "Main urban area" "A"
1629401 "Highly rural/remote area" "G"
1914200 "Main urban area" "A"
1414901 "Rural area with moderate urban influence" "E"
1640800 "Rural area with low urban influence" "F"
1619700 "Rural area with low urban influence" "F"
1629100 "Highly rural/remote area" "G"
1617200 "Rural area with low urban influence" "F"
1620000 "Rural area with low urban influence" "F"
1912105 "Main urban area" "A"
2280401 "Highly rural/remote area" "G"
1619500 "Rural area with low urban influence" "F"
1616800 "Highly rural/remote area" "G"
25900 "Highly rural/remote area" "G"
133503 "Rural area with low urban influence" "F"
166406 "Main urban area" "A"
221500 "Main urban area" "A"
330100 "Main urban area" "A"
398300 "Main urban area" "A"
465101 "Main urban area" "A"
518100 "Main urban area" "A"
640200 "Main urban area" "A"
3189600 "Rural area with low urban influence" "F"
3079602 "Rural area with high urban influence" "D"
3187500 "Rural area with low urban influence" "F"
3092600 "Rural area with moderate urban influence" "E"
3092700 "Rural area with high urban influence" "D"
26201 "Highly rural/remote area" "G"
3186702 "Area outside urban/rural profile" "Z"
81508 "Rural area with low urban influence" "F"
2999600 "Rural area with moderate urban influence" "E"
164900 "Main urban area" "A"
3079901 "Highly rural/remote area" "G"
186402 "Main urban area" "A"
245800 "Main urban area" "A"
513600 "Main urban area" "A"
476900 "Main urban area" "A"
271500 "Main urban area" "A"
278505 "Main urban area" "A"
3090000 "Rural area with moderate urban influence" "E"
1128003 "Rural area with high urban influence" "D"
1128800 "Independent Urban Area" "B"
3090800 "Rural area with high urban influence" "D"
1129300 "Independent Urban Area" "B"
1323401 "Rural area with low urban influence" "F"
1335300 "Rural area with low urban influence" "F"
990600 "Main urban area" "A"
990700 "Main urban area" "A"
1299000 "Rural area with moderate urban influence" "E"
1129100 "Independent Urban Area" "B"
1298500 "Rural area with moderate urban influence" "E"
1251300 "Rural area with high urban influence" "D"
1251700 "Rural area with moderate urban influence" "E"
673000 "Main urban area" "A"
659400 "Main urban area" "A"
993900 "Rural area with low urban influence" "F"
995000 "Rural area with moderate urban influence" "E"
781002 "Main urban area" "A"
674300 "Main urban area" "A"
990900 "Main urban area" "A"
991200 "Rural area with moderate urban influence" "E"
660200 "Main urban area" "A"
715904 "Main urban area" "A"
716300 "Main urban area" "A"
674700 "Main urban area" "A"
61000 "Rural area with low urban influence" "F"
674200 "Main urban area" "A"
658402 "Main urban area" "A"
123700 "Rural area with low urban influence" "F"
746321 "Main urban area" "A"
660300 "Main urban area" "A"
166104 "Main urban area" "A"
762100 "Main urban area" "A"
660400 "Main urban area" "A"
199700 "Main urban area" "A"
658300 "Main urban area" "A"
715908 "Main urban area" "A"
335900 "Main urban area" "A"
505801 "Main urban area" "A"
1349203 "Highly rural/remote area" "G"
1129401 "Independent Urban Area" "B"
546500 "Main urban area" "A"
1129000 "Independent Urban Area" "B"
1279035 "Independent Urban Area" "B"
1298602 "Independent Urban Area" "B"
554800 "Main urban area" "A"
1359400 "Rural area with high urban influence" "D"
593800 "Main urban area" "A"
1279029 "Independent Urban Area" "B"
1271400 "Independent Urban Area" "B"
716203 "Main urban area" "A"
1279108 "Highly rural/remote area" "G"
759903 "Main urban area" "A"
673700 "Main urban area" "A"
1274600 "Independent Urban Area" "B"
935900 "Rural area with low urban influence" "F"
672101 "Main urban area" "A"
1040200 "Highly rural/remote area" "G"
1080400 "Independent Urban Area" "B"
1275115 "Independent Urban Area" "B"
938100 "Rural area with moderate urban influence" "E"
938301 "Rural area with moderate urban influence" "E"
1071200 "Independent Urban Area" "B"
1082903 "Independent Urban Area" "B"
1074300 "Independent Urban Area" "B"
1074200 "Independent Urban Area" "B"
1275200 "Independent Urban Area" "B"
1275301 "Independent Urban Area" "B"
1080900 "Independent Urban Area" "B"
1191302 "Main urban area" "A"
1080600 "Independent Urban Area" "B"
875800 "Main urban area" "A"
872800 "Main urban area" "A"
1193204 "Main urban area" "A"
899900 "Main urban area" "A"
872500 "Main urban area" "A"
1192108 "Main urban area" "A"
900600 "Main urban area" "A"
873800 "Main urban area" "A"
1192111 "Main urban area" "A"
79008 "Rural area with low urban influence" "F"
173404 "Main urban area" "A"
516800 "Highly rural/remote area" "G"
2738600 "Independent Urban Area" "B"
2416601 "Highly rural/remote area" "G"
353500 "Main urban area" "A"
2729200 "Independent Urban Area" "B"
2727900 "Independent Urban Area" "B"
401000 "Main urban area" "A"
2748602 "Independent Urban Area" "B"
2733500 "Independent Urban Area" "B"
459402 "Main urban area" "A"
2732400 "Independent Urban Area" "B"
2739800 "Independent Urban Area" "B"
541000 "Main urban area" "A"
2739700 "Independent Urban Area" "B"
2733400 "Independent Urban Area" "B"
620800 "Main urban area" "A"
2733600 "Independent Urban Area" "B"
2729100 "Independent Urban Area" "B"
2359603 "Main urban area" "A"
2148601 "Main urban area" "A"
588902 "Main urban area" "A"
2739600 "Independent Urban Area" "B"
2732200 "Independent Urban Area" "B"
2161700 "Main urban area" "A"
2146000 "Main urban area" "A"
2732300 "Independent Urban Area" "B"
2729000 "Independent Urban Area" "B"
2276600 "Rural area with low urban influence" "F"
2145100 "Main urban area" "A"
2359800 "Main urban area" "A"
2344100 "Main urban area" "A"
1985600 "Main urban area" "A"
2182200 "Main urban area" "A"
2182500 "Main urban area" "A"
1985700 "Main urban area" "A"
2148400 "Main urban area" "A"
2342600 "Main urban area" "A"
2185400 "Main urban area" "A"
2147200 "Main urban area" "A"
2732500 "Independent Urban Area" "B"
2740000 "Independent Urban Area" "B"
2739900 "Independent Urban Area" "B"
2858603 "Rural area with high urban influence" "D"
2727800 "Independent Urban Area" "B"
3183901 "Highly rural/remote area" "G"
75800 "Main urban area" "A"
2858701 "Highly rural/remote area" "G"
174908 "Main urban area" "A"
3171300 "Highly rural/remote area" "G"
2161000 "Main urban area" "A"
182801 "Main urban area" "A"
2858702 "Rural area with high urban influence" "D"
2209700 "Main urban area" "A"
2183100 "Main urban area" "A"
360500 "Main urban area" "A"
2909102 "Area outside urban/rural profile" "Z"
2439101 "Rural area with high urban influence" "D"
2280105 "Rural area with low urban influence" "F"
233800 "Main urban area" "A"
3170900 "Highly rural/remote area" "G"
2458700 "Rural area with moderate urban influence" "E"
443300 "Main urban area" "A"
2858502 "Rural area with high urban influence" "D"
2459602 "Rural area with moderate urban influence" "E"
556600 "Main urban area" "A"
2441103 "Rural area with moderate urban influence" "E"
624800 "Main urban area" "A"
2459700 "Highly rural/remote area" "G"
711162 "Main urban area" "A"
2417900 "Highly rural/remote area" "G"
2419200 "Highly rural/remote area" "G"
2438500 "Rural area with moderate urban influence" "E"
2858604 "Rural area with high urban influence" "D"
2858903 "Rural area with high urban influence" "D"
2072204 "Main urban area" "A"
2069500 "Main urban area" "A"
2069802 "Main urban area" "A"
2280401 "Highly rural/remote area" "G"
2286002 "Highly rural/remote area" "G"
2368901 "Rural area with low urban influence" "F"
2439102 "Rural area with moderate urban influence" "E"
2545300 "Main urban area" "A"
2270300 "Rural area with moderate urban influence" "E"
2369900 "Rural area with low urban influence" "F"
2417702 "Area outside urban/rural profile" "Z"
2474500 "Main urban area" "A"
2072708 "Area outside urban/rural profile" "Z"
2264000 "Highly rural/remote area" "G"
2611000 "Main urban area" "A"
2368800 "Rural area with low urban influence" "F"
2377200 "Independent Urban Area" "B"
1628900 "Rural area with low urban influence" "F"
1615500 "Independent Urban Area" "B"
112300 "Main urban area" "A"
2656400 "Main urban area" "A"
2069310 "Main urban area" "A"
2067801 "Main urban area" "A"
1615600 "Independent Urban Area" "B"
1629000 "Rural area with low urban influence" "F"
175010 "Main urban area" "A"
2611500 "Main urban area" "A"
2369400 "Rural area with moderate urban influence" "E"
2267200 "Independent Urban Area" "B"
1618702 "Independent Urban Area" "B"
1626800 "Highly rural/remote area" "G"
312800 "Main urban area" "A"
2611200 "Main urban area" "A"
1627500 "Rural area with low urban influence" "F"
1618902 "Independent Urban Area" "B"
318800 "Main urban area" "A"
2611300 "Main urban area" "A"
1615700 "Independent Urban Area" "B"
1618500 "Rural area with moderate urban influence" "E"
502300 "Main urban area" "A"
2611400 "Main urban area" "A"
1618400 "Highly rural/remote area" "G"
1615900 "Independent Urban Area" "B"
470300 "Main urban area" "A"
1411800 "Rural area with low urban influence" "F"
1622200 "Rural area with low urban influence" "F"
280806 "Main urban area" "A"
1622100 "Rural area with low urban influence" "F"
1614000 "Independent Urban Area" "B"
695001 "Main urban area" "A"
291304 "Main urban area" "A"
2068000 "Main urban area" "A"
2377300 "Independent Urban Area" "B"
2285101 "Highly rural/remote area" "G"
2286303 "Rural area with low urban influence" "F"
2370601 "Independent Urban Area" "B"
2082001 "Main urban area" "A"
2460800 "Rural area with low urban influence" "F"
2085903 "Main urban area" "A"
1973600 "Main urban area" "A"
2541500 "Main urban area" "A"
1630600 "Rural area with low urban influence" "F"
1964900 "Main urban area" "A"
1615000 "Independent Urban Area" "B"
1615100 "Independent Urban Area" "B"
1964800 "Main urban area" "A"
1661100 "Independent Urban Area" "B"
1637700 "Highly rural/remote area" "G"
1974800 "Main urban area" "A"
1463900 "Rural area with high urban influence" "D"
1964500 "Main urban area" "A"
1465904 "Main urban area" "A"
1668600 "Highly rural/remote area" "G"
1667600 "Highly rural/remote area" "G"
1683700 "Rural area with moderate urban influence" "E"
1464102 "Rural area with moderate urban influence" "E"
1660800 "Independent Urban Area" "B"
1923500 "Main urban area" "A"
2081600 "Main urban area" "A"
1466001 "Rural area with high urban influence" "D"
1819505 "Main urban area" "A"
1661300 "Independent Urban Area" "B"
1783801 "Rural area with high urban influence" "D"
1820200 "Main urban area" "A"
1806200 "Main urban area" "A"
1807900 "Main urban area" "A"
1801400 "Main urban area" "A"
1784100 "Rural area with high urban influence" "D"
1806900 "Main urban area" "A"
1850500 "Main urban area" "A"
1784404 "Rural area with high urban influence" "D"
2985600 "Rural area with low urban influence" "F"
3089400 "Rural area with low urban influence" "F"
3165600 "Rural area with low urban influence" "F"
2985700 "Rural area with low urban influence" "F"
3001000 "Highly rural/remote area" "G"
2997000 "Highly rural/remote area" "G"
3188900 "Highly rural/remote area" "G"
3185200 "Rural area with moderate urban influence" "E"
3186900 "Highly rural/remote area" "G"
3184700 "Rural area with low urban influence" "F"
3184601 "Rural area with low urban influence" "F"
3077300 "Rural area with high urban influence" "D"
3187300 "Rural area with low urban influence" "F"
3186000 "Highly rural/remote area" "G"
2996400 "Rural area with low urban influence" "F"
2997600 "Rural area with low urban influence" "F"
3087504 "Rural area with low urban influence" "F"
3093300 "Rural area with low urban influence" "F"
3185100 "Rural area with low urban influence" "F"
2996800 "Rural area with low urban influence" "F"
1180007 "Main urban area" "A"
1193201 "Main urban area" "A"
1207003 "Rural area with moderate urban influence" "E"
1189900 "Rural area with high urban influence" "D"
1192206 "Main urban area" "A"
879601 "Main urban area" "A"
1177202 "Main urban area" "A"
955600 "Main urban area" "A"
954208 "Main urban area" "A"
1180006 "Main urban area" "A"
1179502 "Main urban area" "A"
908000 "Main urban area" "A"
1179602 "Main urban area" "A"
1099800 "Rural area with low urban influence" "F"
879100 "Main urban area" "A"
873500 "Main urban area" "A"
62002 "Rural area with high urban influence" "D"
126800 "Rural area with low urban influence" "F"
160800 "Main urban area" "A"
347000 "Main urban area" "A"
227400 "Main urban area" "A"
878300 "Main urban area" "A"
1192203 "Main urban area" "A"
233102 "Main urban area" "A"
1192202 "Main urban area" "A"
1252501 "Area outside urban/rural profile" "Z"
898300 "Main urban area" "A"
273400 "Main urban area" "A"
1323100 "Rural area with moderate urban influence" "E"
632200 "Main urban area" "A"
1296801 "Independent Urban Area" "B"
265600 "Main urban area" "A"
1298404 "Rural area with low urban influence" "F"
1321000 "Independent Urban Area" "B"
1347300 "Rural area with moderate urban influence" "E"
658000 "Main urban area" "A"
1309200 "Independent Urban Area" "B"
671800 "Main urban area" "A"
1301800 "Rural area with low urban influence" "F"
664800 "Main urban area" "A"
1060300 "Highly rural/remote area" "G"
671000 "Main urban area" "A"
746310 "Main urban area" "A"
715614 "Main urban area" "A"
1060300 "Highly rural/remote area" "G"
1298100 "Independent Urban Area" "B"
63500 "Main urban area" "A"
1017200 "Highly rural/remote area" "G"
1127702 "Rural area with low urban influence" "F"
132202 "Rural area with low urban influence" "F"
1278318 "Rural area with low urban influence" "F"
162000 "Main urban area" "A"
1278317 "Rural area with moderate urban influence" "E"
187404 "Main urban area" "A"
1278308 "Rural area with moderate urban influence" "E"
225402 "Main urban area" "A"
1552403 "Highly rural/remote area" "G"
1060300 "Highly rural/remote area" "G"
233101 "Main urban area" "A"
1275302 "Area outside urban/rural profile" "Z"
1082901 "Rural area with low urban influence" "F"
672700 "Main urban area" "A"
548902 "Main urban area" "A"
1278406 "Rural area with moderate urban influence" "E"
1082902 "Rural area with moderate urban influence" "E"
628200 "Main urban area" "A"
1358000 "Rural area with moderate urban influence" "E"
1072900 "Independent Urban Area" "B"
641002 "Main urban area" "A"
1071401 "Independent Urban Area" "B"
844400 "Rural area with moderate urban influence" "E"
1072601 "Independent Urban Area" "B"
1072000 "Independent Urban Area" "B"
937400 "Rural area with low urban influence" "F"
1278321 "Highly rural/remote area" "G"
1278319 "Highly rural/remote area" "G"
1072201 "Independent Urban Area" "B"
65000 "Rural area with moderate urban influence" "E"
1066300 "Highly rural/remote area" "G"
127800 "Highly rural/remote area" "G"
163800 "Main urban area" "A"
515002 "Satellite Urban Area" "C"
330800 "Main urban area" "A"
235003 "Main urban area" "A"
490400 "Main urban area" "A"
646600 "Main urban area" "A"
373300 "Main urban area" "A"
2537400 "Main urban area" "A"
2544900 "Main urban area" "A"
2571000 "Main urban area" "A"
2545700 "Main urban area" "A"
2692700 "Main urban area" "A"
2568900 "Main urban area" "A"
2675302 "Main urban area" "A"
2546300 "Main urban area" "A"
2676800 "Main urban area" "A"
2692500 "Main urban area" "A"
2570800 "Main urban area" "A"
2464700 "Highly rural/remote area" "G"
2614000 "Main urban area" "A"
2570700 "Main urban area" "A"
2692600 "Main urban area" "A"
2614100 "Main urban area" "A"
2534200 "Main urban area" "A"
2537900 "Main urban area" "A"
2474400 "Main urban area" "A"
2736004 "Independent Urban Area" "B"
2569000 "Main urban area" "A"
2736002 "Independent Urban Area" "B"
2746201 "Rural area with low urban influence" "F"
2747800 "Independent Urban Area" "B"
2736003 "Independent Urban Area" "B"
2742100 "Highly rural/remote area" "G"
2144600 "Main urban area" "A"
2748401 "Rural area with low urban influence" "F"
2160303 "Main urban area" "A"
2747700 "Independent Urban Area" "B"
2116802 "Rural area with moderate urban influence" "E"
2159900 "Main urban area" "A"
2142300 "Main urban area" "A"
2142600 "Main urban area" "A"
2160301 "Main urban area" "A"
2342400 "Main urban area" "A"
2736005 "Independent Urban Area" "B"
3191600 "Highly rural/remote area" "G"
2736100 "Independent Urban Area" "B"
2981402 "Highly rural/remote area" "G"
3041800 "Highly rural/remote area" "G"
1847802 "Main urban area" "A"
1809600 "Main urban area" "A"
2857101 "Rural area with moderate urban influence" "E"
1818400 "Main urban area" "A"
1829800 "Main urban area" "A"
3191600 "Highly rural/remote area" "G"
1819800 "Main urban area" "A"
1816100 "Main urban area" "A"
2144700 "Main urban area" "A"
3041902 "Highly rural/remote area" "G"
2420700 "Highly rural/remote area" "G"
1848700 "Main urban area" "A"
1811700 "Main urban area" "A"
2340203 "Main urban area" "A"
3170201 "Highly rural/remote area" "G"
2438301 "Rural area with low urban influence" "F"
1848400 "Main urban area" "A"
1848000 "Main urban area" "A"
3191600 "Highly rural/remote area" "G"
2435701 "Rural area with moderate urban influence" "E"
1829200 "Main urban area" "A"
1810500 "Main urban area" "A"
2435602 "Rural area with low urban influence" "F"
1849200 "Main urban area" "A"
1795700 "Main urban area" "A"
114102 "Independent Urban Area" "B"
2435302 "Rural area with moderate urban influence" "E"
1827700 "Main urban area" "A"
1849400 "Main urban area" "A"
174512 "Main urban area" "A"
2436001 "Rural area with low urban influence" "F"
308100 "Main urban area" "A"
2435402 "Highly rural/remote area" "G"
351300 "Main urban area" "A"
2461300 "Highly rural/remote area" "G"
237203 "Main urban area" "A"
546000 "Main urban area" "A"
3191600 "Highly rural/remote area" "G"
521001 "Main urban area" "A"
695102 "Main urban area" "A"
2857102 "Rural area with high urban influence" "D"
1816400 "Main urban area" "A"
634800 "Main urban area" "A"
1828900 "Main urban area" "A"
1817003 "Main urban area" "A"
2367800 "Rural area with moderate urban influence" "E"
1826200 "Main urban area" "A"
2367700 "Rural area with moderate urban influence" "E"
2435900 "Rural area with low urban influence" "F"
2261000 "Independent Urban Area" "B"
2367303 "Rural area with low urban influence" "F"
2418700 "Highly rural/remote area" "G"
2367202 "Highly rural/remote area" "G"
2071901 "Main urban area" "A"
1607600 "Highly rural/remote area" "G"
2072000 "Main urban area" "A"
1025500 "Highly rural/remote area" "G"
2367201 "Rural area with moderate urban influence" "E"
1624800 "Rural area with low urban influence" "F"
1607502 "Rural area with moderate urban influence" "E"
1608300 "Rural area with moderate urban influence" "E"
1623702 "Highly rural/remote area" "G"
74501 "Rural area with high urban influence" "D"
1552802 "Highly rural/remote area" "G"
173810 "Main urban area" "A"
1625700 "Highly rural/remote area" "G"
184909 "Main urban area" "A"
224227 "Main urban area" "A"
2285301 "Highly rural/remote area" "G"
2283800 "Highly rural/remote area" "G"
505500 "Main urban area" "A"
2261900 "Rural area with low urban influence" "F"
1971600 "Main urban area" "A"
460900 "Main urban area" "A"
2035201 "Main urban area" "A"
269700 "Main urban area" "A"
1972900 "Main urban area" "A"
604400 "Main urban area" "A"
1970400 "Main urban area" "A"
608100 "Main urban area" "A"
1411900 "Highly rural/remote area" "G"
2078900 "Main urban area" "A"
1507100 "Main urban area" "A"
1625600 "Rural area with low urban influence" "F"
1970500 "Main urban area" "A"
1466710 "Main urban area" "A"
1973900 "Main urban area" "A"
1506800 "Main urban area" "A"
1507500 "Main urban area" "A"
1467200 "Rural area with moderate urban influence" "E"
1507400 "Main urban area" "A"
1746300 "Highly rural/remote area" "G"
1508800 "Main urban area" "A"
2080700 "Main urban area" "A"
1921900 "Main urban area" "A"
79601 "Highly rural/remote area" "G"
173502 "Main urban area" "A"
183400 "Main urban area" "A"
1508100 "Main urban area" "A"
224226 "Main urban area" "A"
455400 "Main urban area" "A"
1507200 "Main urban area" "A"
236704 "Main urban area" "A"
608602 "Main urban area" "A"
283400 "Main urban area" "A"
711403 "Main urban area" "A"
2993200 "Independent Urban Area" "B"
2992400 "Independent Urban Area" "B"
2993400 "Independent Urban Area" "B"
2993600 "Independent Urban Area" "B"
2993000 "Independent Urban Area" "B"
3078000 "Rural area with low urban influence" "F"
2993500 "Independent Urban Area" "B"
2992700 "Independent Urban Area" "B"
2993700 "Independent Urban Area" "B"
2993300 "Independent Urban Area" "B"
1333002 "Highly rural/remote area" "G"
1278204 "Rural area with moderate urban influence" "E"
1026200 "Rural area with low urban influence" "F"
1280603 "Highly rural/remote area" "G"
1279801 "Independent Urban Area" "B"
1276902 "Highly rural/remote area" "G"
1277102 "Rural area with low urban influence" "F"
1278104 "Rural area with moderate urban influence" "E"
1261603 "Rural area with low urban influence" "F"
1277202 "Rural area with low urban influence" "F"
1333001 "Rural area with low urban influence" "F"
1016202 "Rural area with low urban influence" "F"
829000 "Satellite Urban Area" "C"
934600 "Highly rural/remote area" "G"
1332800 "Highly rural/remote area" "G"
1332901 "Highly rural/remote area" "G"
934900 "Highly rural/remote area" "G"
1063500 "Rural area with low urban influence" "F"
1351100 "Rural area with moderate urban influence" "E"
1041701 "Highly rural/remote area" "G"
1064400 "Highly rural/remote area" "G"
831900 "Rural area with moderate urban influence" "E"
833601 "Rural area with low urban influence" "F"
832601 "Rural area with low urban influence" "F"
1074500 "Highly rural/remote area" "G"
832202 "Rural area with moderate urban influence" "E"
1064200 "Rural area with low urban influence" "F"
1064900 "Rural area with low urban influence" "F"
1065500 "Rural area with low urban influence" "F"
840500 "Satellite Urban Area" "C"
1063600 "Rural area with low urban influence" "F"
1064500 "Highly rural/remote area" "G"
1353602 "Rural area with low urban influence" "F"
1294002 "Rural area with low urban influence" "F"
1041800 "Rural area with low urban influence" "F"
1351700 "Rural area with moderate urban influence" "E"
843900 "Rural area with moderate urban influence" "E"
934802 "Rural area with high urban influence" "D"
844901 "Rural area with moderate urban influence" "E"
1180203 "Main urban area" "A"
843100 "Rural area with moderate urban influence" "E"
876500 "Main urban area" "A"
1206303 "Main urban area" "A"
1176400 "Main urban area" "A"
952305 "Main urban area" "A"
898203 "Main urban area" "A"
876702 "Main urban area" "A"
1206919 "Main urban area" "A"
1179903 "Main urban area" "A"
974900 "Main urban area" "A"
1180004 "Main urban area" "A"
1127902 "Rural area with low urban influence" "F"
1320502 "Independent Urban Area" "B"
974300 "Main urban area" "A"
972000 "Main urban area" "A"
974800 "Main urban area" "A"
728610 "Main urban area" "A"
975000 "Main urban area" "A"
303205 "Rural area with high urban influence" "D"
1308702 "Independent Urban Area" "B"
728617 "Main urban area" "A"
670600 "Main urban area" "A"
665500 "Main urban area" "A"
663200 "Main urban area" "A"
726900 "Main urban area" "A"
670902 "Main urban area" "A"
1309400 "Independent Urban Area" "B"
1312200 "Independent Urban Area" "B"
713208 "Main urban area" "A"
670801 "Main urban area" "A"
87200 "Main urban area" "A"
147303 "Area outside urban/rural profile" "Z"
180601 "Main urban area" "A"
347400 "Main urban area" "A"
424600 "Main urban area" "A"
412402 "Main urban area" "A"
677400 "Main urban area" "A"
576100 "Main urban area" "A"
639100 "Main urban area" "A"
2856301 "Rural area with low urban influence" "F"
3005102 "Highly rural/remote area" "G"
3006200 "Highly rural/remote area" "G"
3173304 "Highly rural/remote area" "G"
3041101 "Highly rural/remote area" "G"
3004702 "Highly rural/remote area" "G"
2853600 "Highly rural/remote area" "G"
2856502 "Rural area with low urban influence" "F"
3041102 "Highly rural/remote area" "G"
3042400 "Highly rural/remote area" "G"
2853700 "Highly rural/remote area" "G"
3171800 "Highly rural/remote area" "G"
2424500 "Independent Urban Area" "B"
2420300 "Rural area with low urban influence" "F"
3169500 "Independent Urban Area" "B"
2853800 "Highly rural/remote area" "G"
2419902 "Rural area with low urban influence" "F"
2424700 "Independent Urban Area" "B"
2856202 "Highly rural/remote area" "G"
3172000 "Rural area with low urban influence" "F"
2433700 "Highly rural/remote area" "G"
2426200 "Independent Urban Area" "B"
2423000 "Independent Urban Area" "B"
2433201 "Highly rural/remote area" "G"
2420500 "Rural area with low urban influence" "F"
2424400 "Independent Urban Area" "B"
2424200 "Independent Urban Area" "B"
2433202 "Rural area with low urban influence" "F"
2436300 "Rural area with low urban influence" "F"
2423900 "Independent Urban Area" "B"
61804 "Main urban area" "A"
2424100 "Independent Urban Area" "B"
2432803 "Highly rural/remote area" "G"
439603 "Highly rural/remote area" "G"
178708 "Main urban area" "A"
3173304 "Highly rural/remote area" "G"
2960700 "Rural area with low urban influence" "F"
188100 "Main urban area" "A"
2856501 "Rural area with low urban influence" "F"
3173304 "Highly rural/remote area" "G"
358411 "Area outside urban/rural profile" "Z"
255500 "Main urban area" "A"
243501 "Main urban area" "A"
576200 "Main urban area" "A"
2422900 "Highly rural/remote area" "G"
2432802 "Rural area with low urban influence" "F"
264800 "Main urban area" "A"
2432804 "Rural area with low urban influence" "F"
2686300 "Main urban area" "A"
2423100 "Independent Urban Area" "B"
2572102 "Main urban area" "A"
2570500 "Main urban area" "A"
2599400 "Main urban area" "A"
2536900 "Main urban area" "A"
2686800 "Main urban area" "A"
2675400 "Main urban area" "A"
2542700 "Main urban area" "A"
83901 "Main urban area" "A"
1969600 "Main urban area" "A"
1952800 "Main urban area" "A"
634378 "Area outside urban/rural profile" "Z"
1970700 "Main urban area" "A"
1952200 "Main urban area" "A"
179000 "Main urban area" "A"
1950900 "Main urban area" "A"
1951300 "Main urban area" "A"
2686200 "Main urban area" "A"
327600 "Main urban area" "A"
2749100 "Rural area with low urban influence" "F"
1957800 "Main urban area" "A"
2035600 "Main urban area" "A"
2615400 "Main urban area" "A"
423800 "Main urban area" "A"
2715700 "Highly rural/remote area" "G"
1925300 "Main urban area" "A"
1958900 "Main urban area" "A"
456700 "Main urban area" "A"
2813800 "Highly rural/remote area" "G"
1925500 "Main urban area" "A"
2087002 "Main urban area" "A"
1669000 "Highly rural/remote area" "G"
1509400 "Main urban area" "A"
547501 "Main urban area" "A"
2715600 "Highly rural/remote area" "G"
1965800 "Main urban area" "A"
1946600 "Main urban area" "A"
1668800 "Highly rural/remote area" "G"
1502100 "Main urban area" "A"
518900 "Main urban area" "A"
2745000 "Rural area with low urban influence" "F"
1921200 "Main urban area" "A"
2079500 "Main urban area" "A"
1683600 "Rural area with moderate urban influence" "E"
1469100 "Main urban area" "A"
596000 "Main urban area" "A"
2715500 "Highly rural/remote area" "G"
2359511 "Main urban area" "A"
1469301 "Main urban area" "A"
1466401 "Main urban area" "A"
2806700 "Highly rural/remote area" "G"
2135100 "Main urban area" "A"
