"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","EASTING","NORTHING","NOTHING"
"MURIWAI DRIVE","400","N","WAIRAKA ROAD","2801184","04/01/2008","Fri","1310","CAR2 SBD on MURIWAI DRIVE opened door into path of another party, CAR1 hit Parked Vehicle","CAR1 too far left/right  CAR2 didnt see/look behind when opening door or leaving vehicle, driver/Passenger boarding, leaving, in vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1952374","5792572",
"MYRTLE GROVE","20","W","KOWHAI PLACE","201002872","05/06/2010","Sat","0835","CAR1 EBD on MYRTLE GROVE lost control; went off road to left, CAR1 hit Parked Vehicle","CAR1 too fast on straight, new driver showed inexperience, windscreen or rear window misted/frosted  ENV: dazzling sun","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1843374","5784108",
"NEIL ROAD","80","S","BIDOIS ROAD","2805213","04/11/2008","Tue","2125","CAR1 SBD on NEIL ROAD missed inters or end of road, CAR1 hit Bridge, Over Bank","CAR1 lost control, inattentive","Dry","Dark","Fine","Unknown","N/A","0","0","2","1883411","5776186",
"NEIL ROAD","","I","BIDOIS ROAD","2805730","23/11/2008","Sun","2150","CAR1 EBD on BIDOIS ROAD lost control turning left, CAR1 hit Ditch","CAR1 too fast entering corner, lost control when turning, attention diverted by other traffic","Dry","Dark","Fine","T Type Junction","Nil","0","0","1","1883386","5776262",
"NELSON ST","","I","FORD ST","2801578","15/03/2008","Sat","1600","TRUCK1 WBD on FORD ST hit SUV2 crossing at right angle from right","TRUCK1 did not stop at stop sign, inexperience","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","1","1975982","5784384",
"NELSON ST","10","S","SH 2","2901279","01/01/2009","Thu","1520","CAR1 NBD on NELSON ST hit rear end of SUV2 stop/slow for queue","CAR1 alcohol test above limit or test refused, too fast on straight, failed to notice car slowing","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","1","1975972","5784154",
"NEWARK CLOSE","20","W","SUNVALE PLACE","201101434","26/02/2011","Sat","0705","CAR1 WBD on NEWARK CLOSE hit Parked Vehicle while manoeuvring, CAR1 hit House Or Bldg","CAR1 lost control, wrong pedal, impared ability due to old age","Dry","Overcast","Fine","Unknown","N/A","0","1","0","1876311","5821003",
"NEWELL ROAD","2200","E","SH 1N","201204824","07/11/2012","Wed","1419","CAR1 NBD on NEWELL ROAD missed inters or end of road, CAR1 hit Cliff Bank","CAR1 wrong pedal  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","N/A","0","0","1","1853391","5767533",
"NEWTON ST","10","E","AERODROME ROAD","201201319","14/03/2012","Wed","1550","MOTOR CYCLE1 SBD on NEWTON ST hit CAR2 merging from the left","CAR2 alcohol test below limit, failed to give way at driveway  ENV: entering or leaving specialised liquor outlet","Dry","Bright Sun","Fine","Driveway","N/A","0","0","1","1882654","5826849",
"NEWTON ST","40","S","HULL ROAD","201103275","02/07/2011","Sat","0030","CAR1 NBD on NEWTON ST lost control; went off road to right, CAR1 hit House Or Bldg","CAR1 alcohol suspected, attention diverted by cigarette etc","Dry","Dark","Fine","Unknown","N/A","0","0","1","1882075","5827678",
"NEWTON ST","50","N","TATUA WAY","2902061","07/03/2009","Sat","0820","TRUCK1 SBD on NEWTON ST hit SUV2 U-turning from same direction of travel","SUV2 didnt see/look behind when changing lanes, position or direction","Wet","Overcast","Light Rain","Unknown","N/A","0","1","0","1882425","5827201",
"NGA AWA PURUA ROAD","2000","E","RAPIDS ROAD","201003270","14/07/2010","Wed","1241","SUV1 WBD on NGA AWA PURUA ROAD lost control turning right, SUV1 hit Cliff Bank on right hand bend ","SUV1 lost control when turning, suddenly swerved to avoid animal, driver over-reacted  ENV: road slippery (loose material on seal)","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1875654","5721199",
"NGAHINA ROAD","130","N","PAEKOA ROAD","201105702","17/12/2011","Sat","0120","VAN1 SBD on NGAHINA ROAD lost control turning left, VAN1 hit Fence, Parked Vehicle, Post Or Pole","VAN1 alcohol test above limit or test refused, too fast entering corner, lost control when turning  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","1","0","1949065","5768691",
"NGAHINA ROAD","290","N","PAEKOA ROAD","2901216","13/01/2009","Tue","2330","VAN1 entering/leaving driveway hit PEDESTRIAN walking on footpath","VAN1 alcohol suspected, didnt see/look behind when reversing/manoeuvering  ENV: entering or leaving private house / farm","Dry","Dark","Fine","Driveway","N/A","0","1","0","1949100","5768847",
"NGAHINA ROAD","300","S","WHETU ROAD","2802530","22/04/2008","Tue","2100","CAR1 SBD on NGAHINA ROAD hit obstruction, CAR1 hit Post Or Pole, Stray Animal","CAR1 alcohol test above limit or test refused  ENV: farm animal straying","Dry","Dark","Fine","Unknown","N/A","0","0","1","1949431","5770211",
"NGAIO PLACE","100","S","OREGON DRIVE","201201165","06/02/2012","Mon","1940","MOPED1 SBD on NGAIO PLACE missed inters or end of road, MOPED1 hit Post Or Pole","MOPED1 lost control under heavy acceleration, driving unfamiliar vehicle  ENV: entering or leaving private house / farm","Dry","Overcast","Fine","Driveway","N/A","0","1","0","1923680","5737005",
"NGAMOTU ROAD","200","S","TAWA ROAD","201001536","16/02/2010","Tue","1215","CAR1 SBD on NGAMOTU ROAD lost control turning left, CAR1 hit Fence, Guard Rail","CAR1 too fast entering corner, lost control due to road conditions  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","Nil","0","0","1","1909887","5755673",
"NGAMOTU ROAD","100","S","TUKUHA ROAD","2804772","03/10/2008","Fri","1118","SUV1 SBD on NGAMOTU ROAD lost control; went off road to left, SUV1 hit Cliff Bank","SUV1 attention diverted by cell phone","Dry","Bright Sun","Fine","Unknown","N/A","0","1","1","1917310","5757292",
"NGAMUWAHINE ROAD","170","N","SH 29","201104697","17/11/2011","Thu","2245","CAR1 NBD on NGAMUWAHINE ROAD lost control turning left, CAR1 went Over Bank, Tree, Other, Water/River","CAR1 too fast for conditions, lost control on unsealed road, new driver showed inexperience","Dry","Dark","Fine","Unknown","N/A","0","0","1","1865369","5810248",
"NGATAI ROAD","10","E","BURETA ROAD","201102817","19/05/2011","Thu","1700","CAR1 EBD on NGATAI ROAD hit PEDESTRIAN crossing road from left side","CAR1 failed to give way to ped on a xing","Dry","Bright Sun","Fine","X Type Junction","Give Way Sign","0","0","1","1878158","5826369",
"NGATAI ROAD","100","S","EMILY PLACE","201004424","11/08/2010","Wed","0807","CAR1 NBD on NGATAI ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing heedless of traffic","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1876384","5826048",
"NGATAI ROAD","300","S","EMILY PLACE","201004180","04/09/2010","Sat","1545","CYCLIST1 (Age 13)NBD on NGATAI ROAD hit CAR2 manoeuvring","CYCLIST1 too fast on straight, driving or riding on footpath  ENV: entering or leaving private house / farm","Dry","Overcast","Fine","Driveway","N/A","0","0","1","1876285","5825879",
"NGATAI ROAD","80","E","FREYBERG ST","201102995","17/06/2011","Fri","0526","CAR1 EBD on NGATAI ROAD lost control while overtaking, CAR1 hit Post Or Pole","CAR1 alcohol test below limit, too fast on straight, lost control, driver over-reacted","Dry","Dark","Fine","Unknown","N/A","0","1","2","1877350","5826572",
"NGATAI ROAD","10","W","FREYBERG ST","2905707","31/12/2009","Thu","2341","passenger fell while boarding BUS1 ","BUS1 Intoxicated non-driver, foot slipped or got caught under pedal","Dry","Dark","Fine","T Type Junction","Stop Sign","0","0","2","1877263","5826597",
"NGATAI ROAD","","I","FREYBERG ST","2905093","02/11/2009","Mon","0955","SUV1 EBD on NGATAI ROAD hit rear of CAR2 turning right from centre line","SUV1 failed to notice indication of vehicle in front, attention diverted by scenery or persons outside vehicle","Dry","Bright Sun","Fine","T Type Junction","Stop Sign","0","0","1","1877273","5826594",
"NGATAI ROAD","","I","FREYBERG ST","201003490","11/06/2010","Fri","1750","CYCLIST1 (Age 33)WBD on NGATAI ROAD hit TAXI2 turning right onto NGATAI ROAD from the left","CYCLIST1 cyclist or m/cyclist wearing dark clothing, headlights inadequate or no headlights  TAXI2 failed to give way at stop sign, didnt see/look when required to give way to traffic from another direction","Dry","Dark","Fine","T Type Junction","Stop Sign","0","0","1","1877272","5826593",
"NGATAI ROAD","100","E","OTUMOETAI ROAD","201102956","07/06/2011","Tue","1128","VEHB EBD on NGATAI ROAD lost control while being overtaken by MOPED1  MOPED1 hit Kerb","MOPED1 too far left/right, lost control when turning","Dry","Overcast","Fine","Unknown","N/A","0","0","1","1877065","5826647",
"NGATAI ROAD","30","W","OTUMOETAI ROAD","201102068","10/04/2011","Sun","0900","CAR2 turning right hit by oncoming VAN1 WBD on NGATAI ROAD ","CAR2 failed to give way when turning to non-turning traffic, attention diverted by driver dazzled by sun/lights  ENV: dazzling sun, entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","N/A","0","0","2","1876919","5826606",
"NGATAI ROAD","","I","OTUMOETAI ROAD","2806080","30/08/2008","Sat","0400","VAN1 WBD on NGATAI ROAD lost control turning left, VAN1 hit Post Or Pole","VAN1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, fatigue due to lack of sleep, worn tread on tyre","Dry","Dark","Fine","Roundabout","Give Way Sign","0","0","1","1876965","5826615",
"NGATAI ROAD","40","W","SHORT ST","201101597","24/03/2011","Thu","1515","CAR1 EBD on NGATAI ROAD hit CAR2 U-turning from same direction of travel, CAR1 hit Parked Vehicle","CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Overcast","Fine","Unknown","N/A","0","0","1","1877477","5826537",
"NGATIMANAWA ROAD","","I","KARAMEA ST","201205306","04/12/2012","Tue","1700","SUV1 EBD on KARAMEA ST lost control turning left","SUV1 too fast entering corner, lost control when turning","Dry","Overcast","Fine","T Type Junction","Stop Sign","0","0","1","1923848","5736839",
"NGATIRA ROAD","3750","N","TE WHETU ROAD","2803807","25/05/2008","Sun","1500","CAR1 EBD on NGATIRA ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 alcohol suspected, attention diverted by driver dazzled by sun/lights, defective vision  ENV: dazzling sun","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1853936","5779636",
"NICHOLSON ROAD","1290","S","PARSONS ROAD","2903551","07/06/2009","Sun","1425","CAR1 NBD on NICHOLSON ROAD lost control on curve and hit CAR2 head on","CAR1 alcohol test above limit or test refused, lost control when turning  CAR2 alcohol test below limit","Dry","Bright Sun","Fine","Unknown","Nil","0","1","1","1876381","5755444",
"NINTH AVENUE","","I","CAMERON ROAD","201204863","15/11/2012","Thu","1139","CAR1 WBD on NINTH AVENUE hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 medical illness (not sudden eg flu), crossing road, running heedless of traffic","Dry","Overcast","Fine","Roundabout","Give Way Sign","0","0","1","1878746","5823279",
"NINTH AVENUE","10","E","ST JOHN ST","201104795","10/12/2011","Sat","0830","MOPED1 EBD on NINTH AVENUE hit CAR2 turning into angle park","MOPED1 failed to notice indication of vehicle in front, misjudged intentions of another party","Dry","Overcast","Fine","T Type Junction","Stop Sign","0","0","1","1878653","5823335",
"NO 1 ROAD","1200","S","CHEETHAM AVENUE","201201297","02/02/2012","Thu","1545","MOTOR CYCLE1 NBD on NO 1 ROAD lost control turning right, MOTOR CYCLE1 hit Cliff Bank on right hand bend ","MOTOR CYCLE1 too far left/right, lost control while returning to seal from unsealed shoulder","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1891129","5807529",
"NO 1 ROAD","1210","S","CHEETHAM AVENUE","201101232","26/01/2011","Wed","1950","SUV1 NBD on NO 1 ROAD lost control turning right, SUV1 hit Tree, Ditch on right hand bend ","SUV1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, inattentive","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1891122","5807523",
"NO 1 ROAD","2000","S","CHEETHAM AVENUE","201004163","08/09/2010","Wed","1040","CAR1 SBD on NO 1 ROAD lost control turning right, CAR1 went Over Bank, Fence on right hand bend ","CAR1 too fast entering corner, lost control when turning, stolen vehicle  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1890764","5806829",
"NO 1 ROAD","570","E","NO 2 ROAD","2905867","12/12/2009","Sat","0800","CAR1 EBD on NO 1 ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 too fast entering corner  ENV: road slippery (rain)","Wet","Overcast","Fine","Unknown","Nil","0","0","1","1889897","5805386",
"NO 1 ROAD","5410","S","SH 2","2902675","06/05/2009","Wed","0810","CAR2 turning right hit by oncoming CAR1 SBD on NO 1 ROAD ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction  ENV: entering or leaving private house / farm","Wet","Overcast","Light Rain","Driveway","Nil","0","0","1","1891420","5807676",
"NO 2 ROAD","2700","S","DUDLEY VERCOE DRIVE","201006102","04/12/2010","Sat","0140","CAR1 NBD on NO 2 ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 alcohol test below limit, too far left/right, lost control while returning to seal from unsealed shoulder","Dry","Dark","Fine","Unknown","N/A","0","1","2","1890871","5808380",
"NO 2 ROAD","","I","DUDLEY VERCOE DRIVE","201003299","17/06/2010","Thu","1630","CYCLIST1 (Age 50)NBD on NO 2 ROAD hit CAR2 merging from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Twilight","Fine","T Type Junction","Give Way Sign","0","1","0","1891864","5810667",
"NO 2 ROAD","3000","S","FAIRVIEW PLACE","201000015","22/01/2010","Fri","1624","CAR1 NBD on NO 2 ROAD lost control; went off road to left, CAR1 hit Cliff Bank","CAR1 alcohol test above limit or test refused, fatigue (drowsy, tired, fell asleep), illness and disability","Dry","Bright Sun","Fine","Unknown","Nil","1","0","0","1890820","5808536",
"NO 2 ROAD","","I","NO 1 ROAD","201101480","05/03/2011","Sat","0440","CAR1 WBD on NO 1 ROAD missed inters or end of road, CAR1 hit Cliff Bank","CAR1 alcohol test above limit or test refused, too fast on straight, inattentive: failed to notice intersection or its stop/give way control  ENV: road slippery (rain)","Wet","Dark","Light Rain","T Type Junction","Stop Sign","0","0","1","1889344","5805275",
"NO 3 ROAD","200","S","ATAHUA WAY","201204880","30/10/2012","Tue","2020","CAR1 NBD on NO 3 ROAD hit rear end of OTHER2 stopped/moving slowly","CAR1 failed to notice car slowing","Dry","Dark","Fine","Unknown","N/A","0","0","1","1890674","5811504",
"NO 3 ROAD","790","S","ATAHUA WAY","2905023","01/10/2009","Thu","0500","SUV1 NBD on NO 3 ROAD lost control; went off road to right, SUV1 hit Cliff Bank","SUV1 too fast on straight, lost control, new driver showed inexperience","Dry","Dark","Fine","Unknown","N/A","0","0","2","1890547","5810928",
"NO 3 ROAD","750","N","BAYLISS ROAD","201103792","07/09/2011","Wed","0730","CAR1 SBD on NO 3 ROAD lost control on curve and hit CAR2 head on","CAR1 lost control when turning, overseas/migrant driver failed to adjust to NZ road rules and road conditions, driver over-reacted","Dry","Bright Sun","Fine","Unknown","N/A","0","0","2","1889928","5809398",
"NO 3 ROAD","890","N","BAYLISS ROAD","201102676","13/05/2011","Fri","0950","CAR1 SBD on NO 3 ROAD lost control turning right, CAR1 hit Cliff Bank on right hand bend ","CAR1 too fast entering corner, lost control when turning","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1890066","5809408",
"NO 3 ROAD","600","S","MACLOUGHLIN DRIVE","201202742","25/05/2012","Fri","1625","CAR1 SBD on NO 3 ROAD hit rear end of VAN2 stopped/moving slowly","CAR1 failed to notice car slowing, attention diverted","Dry","Overcast","Fine","Unknown","N/A","0","0","1","1890759","5812609",
"NO 3 ROAD","100","N","NO 4 ROAD","201003491","16/04/2010","Fri","1500","CAR1 SBD on NO 3 ROAD lost control; went off road to left, CAR1 hit Cliff Bank","CAR1 overseas/migrant driver failed to adjust to NZ road rules and road conditions","Dry","Bright Sun","Fine","Unknown","Nil","0","0","3","1890525","5810831",
"NO 3 ROAD","100","S","WHITEHEAD AVENUE","201004144","21/07/2010","Wed","1738","CAR1 NBD on NO 3 ROAD hit accident or broke down CAR2  CAR1 hit Vehicle","CAR1 too fast for conditions, lost control under heavy braking, inattentive  PEDESTRIAN3 pedestrian pushing, working on or unloading vehicle  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","1","1890713","5812065",
"NO 4 ROAD","2800","W","NO 3 ROAD","201203418","07/07/2012","Sat","2100","CAR1 SBD on NO 4 ROAD lost control turning left, CAR1 hit Fence, Tree","CAR1 alcohol test above limit or test refused, lost control when turning","Dry","Dark","Fine","Unknown","N/A","0","0","1","1889175","5809360",
"NOBLE ST","50","N","MORISON ST","2805113","09/10/2008","Thu","1205","VAN1 NBD on NOBLE ST hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 stepped out from behind vehicle, crossing road, running heedless of traffic, pedestrian unsupervised child  ENV: visibility limited by parked vehicle","Dry","Overcast","Fine","Unknown","Nil","0","0","1","1866494","5713809",
"NORMAN SMITH ST","","I","KAIHUA ROAD","201102391","10/01/2011","Mon","2115","CAR2 turning right hit by oncoming CYCLIST1 (Age 15)EBD on NORMAN SMITH ST ","CYCLIST1 lights not switched on  CAR2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","0","1","1866566","5714185",
"NORMAN SMITH ST","","I","KAIHUA ROAD","2904228","02/08/2009","Sun","1405","CAR1 WBD on NORMAN SMITH ST hit rear of CAR2 turning right from centre line","CAR1 failed to notice car slowing","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","0","1","1866566","5714185",
"NORMAN SMITH ST","60","E","NOBLE ST","201102928","30/05/2011","Mon","1505","VAN1 EBD on NORMAN SMITH ST hit rear of VAN2 turning right from centre line","VAN1 failed to notice indication of vehicle in front  ENV: entering or leaving private house / farm","Dry","Overcast","Fine","Driveway","N/A","0","0","4","1866698","5714133",
"NORTHERN BOUNDARY ROAD","","I","REPUBLICAN ROAD","2905928","24/10/2009","Sat","0200","MOTOR CYCLE1 SBD on NORTHERN BOUNDARY ROAD lost control turning right, MOTOR CYCLE1 hit Traffic Island on right hand bend ","MOTOR CYCLE1 alcohol test above limit or test refused, too far left/right, lost control","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","1","0","1909784","5749857",
"OAK DRIVE","130","S","PALMER MILL ROAD","2902367","30/03/2009","Mon","1830","CYCLIST1 (Age 15)SBD on OAK DRIVE swinging wide hit CAR2 head on","CYCLIST1 swung wide on bend","Dry","Twilight","Fine","Unknown","N/A","0","0","1","1870169","5724129",
"OCEAN ROAD","140","W","HOTERINI ST","2905609","18/11/2009","Wed","0755","CAR1 EBD on OCEAN ROAD lost control turning right, CAR1 hit Kerb, Parked Vehicle on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Overcast","Fine","Unknown","N/A","0","0","1","1959412","5788720",
"OCEAN VIEW ROAD","130","S","FISHERMANS DRIVE","201001741","21/02/2010","Sun","1145","CYCLIST1 (Age 53)SBD on OCEAN VIEW ROAD hit obstruction, CYCLIST1 hit Parked Vehicle","CYCLIST1 failed to notice car slowing, attention diverted","Dry","Bright Sun","Fine","Unknown","Nil","0","0","1","1949208","5794014",
"OCEANBEACH ROAD","520","N","CONCORD AVENUE","2905632","30/10/2009","Fri","1745","CYCLIST1 NBD on OCEANBEACH ROAD lost control; went off road to left, CYCLIST1 hit Parked Vehicle","CYCLIST1 attention diverted","Dry","Overcast","Fine","Unknown","N/A","0","0","1","1884145","5826524",
"OCEANBEACH ROAD","10","E","GIRVEN ROAD","201004361","25/06/2010","Fri","1700","MOPED1 EBD on OCEANBEACH ROAD hit rear end of CAR2 stop/slow for queue","MOPED1 failed to notice car slowing","Dry","Bright Sun","Fine","T Type Junction","Nil","0","0","1","1885135","5825663",
"OCEANBEACH ROAD","50","E","GIRVEN ROAD","201102070","06/04/2011","Wed","1442","MOPED1 EBD on OCEANBEACH ROAD hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1885167","5825639",
"OCEANBEACH ROAD","","I","GIRVEN ROAD","201103225","13/06/2011","Mon","1730","CAR2 turning right hit by oncoming MOPED1 NBD on OCEANBEACH ROAD  MOPED1 hit Traffic Island","CAR2 failed to give way when turning to non-turning traffic","Dry","Twilight","Fine","T Type Junction","Give Way Sign","0","0","1","1885127","5825669",
"OCEANBEACH ROAD","","I","GIRVEN ROAD","2804331","05/08/2008","Tue","1810","CAR2 turning right hit by oncoming MOPED1 NBD on OCEANBEACH ROAD ","CAR2 failed to give way when turning to non-turning traffic, attention diverted by other traffic, attention diverted by driver dazzled by sun/lights, didnt see/look when required to give way to traffic from another direction","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","1","0","1885127","5825669",
"OCEANBEACH ROAD","","I","GIRVEN ROAD","2902302","13/01/2009","Tue","1750","CYCLIST1 (Age 57)NBD on OCEANBEACH ROAD hit CAR2 merging from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","0","1","1885127","5825669",
"OCEANBEACH ROAD","","I","GOLF ROAD","201104706","30/10/2011","Sun","1310","CYCLIST1 (Age 50)NBD on OCEANBEACH ROAD merging hit CAR2 also merging","CAR2 did not stop at steady red arrow, failed to notice traffic lights","Dry","Bright Sun","Fine","T Type Junction","Traffic Signal","0","1","0","1883531","5827111",
"OCEANBEACH ROAD","","I","GOLF ROAD","201005248","05/11/2010","Fri","0020","CAR1 EBD on OCEANBEACH ROAD lost control turning left, CAR1 hit Post Or Pole","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Dark","Fine","T Type Junction","Traffic Signal","0","1","0","1883531","5827111",
"OCEANBEACH ROAD","","I","MCDOWELL ST","201103722","19/08/2011","Fri","2220","CAR1 NBD on OCEANBEACH ROAD lost control turning right, CAR1 hit Fence on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","0","1","1883320","5827290",
"OCEANBEACH ROAD","200","S","MOA ST","201004764","27/09/2010","Mon","1000","CAR1 NBD on OCEANBEACH ROAD hit rear of CAR2 turning right from centre line, CAR1 hit Vehicle","CAR1 failed to notice car slowing, attention diverted by scenery or persons outside vehicle  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","0","2","1883189","5827474",
"OCEANBEACH ROAD","260","E","SURF ROAD","201101462","05/01/2011","Wed","1440","CAR1 NBD on OCEANBEACH ROAD lost control; went off road to right, CAR1 hit Parked Vehicle","CAR1 attention diverted by passengers","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1883788","5826900",
"OCEANBEACH ROAD","350","E","SURF ROAD","201005238","05/10/2010","Tue","2256","CAR1 NBD on OCEANBEACH ROAD lost control turning right, CAR1 hit Parked Vehicle on right hand bend ","CAR1 too far left/right, attention diverted","Dry","Dark","Fine","Unknown","N/A","0","0","1","1883847","5826831",
"OHAKURI ROAD","690","S","MALEME ROAD","201205415","15/12/2012","Sat","0300","CAR1 SBD on OHAKURI ROAD lost control turning right, CAR1 hit Cliff Bank on right hand bend ","CAR1 alcohol suspected, too fast entering corner, lost control when turning","Dry","Dark","Fine","Unknown","Nil","0","0","2","1869952","5744441",
"OHAKURI ROAD","60","S","MATAPAN ROAD","2801966","24/01/2008","Thu","1126","MOTOR CYCLE1 NBD on OHAKURI ROAD lost control turning left","MOTOR CYCLE1 too fast entering corner, lost control under heavy braking","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1866848","5749125",
"OHAUITI ROAD","760","N","ADRINE LANE","2905717","27/12/2009","Sun","2325","CAR1 NBD on OHAUITI ROAD missed inters or end of road, CAR1 went Over Bank, Fence","CAR1 lost control, new driver showed inexperience, wrong pedal","Dry","Dark","Fine","Unknown","N/A","0","0","1","1879547","5813431",
"OHAUITI ROAD","800","S","ROWE ROAD","2906191","29/12/2009","Tue","1712","CAR1 SBD on OHAUITI ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 too far left/right, lost control when turning","Dry","Overcast","Fine","Unknown","Nil","0","0","1","1879928","5814226",
"OHAUITI ROAD","15","N","ROWESDALE DRIVE","2901740","02/03/2009","Mon","1607","CAR1 NBD on OHAUITI ROAD hit PEDESTRIAN crossing road from left side","CAR1 suddenly swerved to avoid pedestrian  PEDESTRIAN2 crossing heedless of traffic","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1878855","5817341",
"OHAUITI ROAD","100","N","ROWESDALE DRIVE","2801489","16/02/2008","Sat","","CAR1 NBD on OHAUITI ROAD lost control on curve and hit CAR2 head on","CAR1 suddenly swerved to avoid animal","Dry","Bright Sun","Fine","Unknown","N/A","0","0","2","1878821","5817420",
"OHAUITI ROAD","400","S","WELCOME BAY ROAD","201204494","31/10/2012","Wed","1942","VAN1 SBD on OHAUITI ROAD lost control but did not leave the road","VAN1 alcohol test above limit or test refused, attention diverted by cigarette etc","Dry","Twilight","Fine","Unknown","N/A","0","0","1","1879046","5819425",
"OHIWA HARBOUR ROAD","100","N","REEVES ROAD","201104634","24/10/2011","Mon","1419","TRUCK1 NBD on OHIWA HARBOUR ROAD changing lanes to left hit CYCLIST2 (Age 44)","TRUCK1 misjudged speed, etc of vehicle coming from behind or alongside","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1965568","5785577",
"OHOPE ROAD","400","E","BURMA ROAD","2903542","12/06/2009","Fri","1255","CAR1 WBD on OHOPE ROAD lost control turning right, CAR1 hit Cliff Bank on right hand bend ","CAR1 too fast entering corner, lost control when turning","Wet","Overcast","Light Rain","Unknown","Nil","0","0","1","1953211","5790330",
"OHOPE ROAD","250","W","CLIFF ROAD","201004113","02/08/2010","Mon","0950","CAR1 WBD on OHOPE ROAD lost control turning left, CAR1 hit Tree","CAR1 lost control when turning, worn tread on tyre  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","1","1953649","5790804",
"OHOPE ROAD","50","S","OTARAWAIRERE ROAD","201101000","02/01/2011","Sun","1315","CAR1 SBD on OHOPE ROAD hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1953477","5790585",
"OHOTU ROAD","1100","W","RUATOKI VALLEY ROAD","201102975","19/06/2011","Sun","1730","VAN1 WBD on OHOTU ROAD hit obstruction, VAN1 hit Stray Animal","VAN1 vehicle caught fire  ENV: fog or mist, farm animal straying","Dry","Twilight","Mist","Unknown","N/A","0","0","1","1950264","5771363",
"OHUANGA ROAD","","I","PIHANGA ROAD","201204338","30/08/2012","Thu","1605","CAR1 NBD on OHUANGA ROAD hit CAR2 merging from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","Roundabout","Give Way Sign","0","0","1","1843346","5680646",
"OKAAHU ROAD","950","S","POWELL ROAD","2905702","26/12/2009","Sat","2000","CAR1 WBD on OKAAHU ROAD lost control turning right, CAR1 hit Ditch, Other on right hand bend ","CAR1 too fast entering corner, lost control on unsealed road, inexperience","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1932690","5784682",
